ciclo,id_entidad_federativa,entidad_federativa,id_municipio,municipio,tomas_pagadas,monto_agua,monto_recaudado_percapita,lugar_estatal_percapita,lugar_nacional_percapita,promedio_recaudacion_percapita_estatal,promedio_recaudacion_percapita_nacional,poblacion
2010,1,Aguascalientes,1,Aguascalientes,257621,515712586,647,1,41,223,92,797010
2011,1,Aguascalientes,1,Aguascalientes,268753,570888645,716,1,43,241,100,797010
2012,1,Aguascalientes,1,Aguascalientes,274899,611953913,768,1,40,259,111,797010
2013,1,Aguascalientes,1,Aguascalientes,279030,635292862,797,1,42,269,117,797010
2014,1,Aguascalientes,1,Aguascalientes,283899,670791022,842,1,37,308,125,797010
2015,1,Aguascalientes,1,Aguascalientes,288749,688453486,785,1,57,287,125,877190
2016,1,Aguascalientes,1,Aguascalientes,249118,710165300,810,1,61,300,136,877190
2017,1,Aguascalientes,1,Aguascalientes,261125,734817130,838,1,76,335,147,877190
2018,1,Aguascalientes,1,Aguascalientes,250123,794859017,906,1,62,377,151,877190
2019,1,Aguascalientes,1,Aguascalientes,235030,857259456,977,1,68,436,166,877190
2020,1,Aguascalientes,1,Aguascalientes,242484,893532100,942,1,67,414,176,948990
2021,1,Aguascalientes,1,Aguascalientes,271561,998532067,1052,1,65,469,176,948990
2022,1,Aguascalientes,1,Aguascalientes,280365,1127706498,1188,1,56,560,197,948990
2023,1,Aguascalientes,1,Aguascalientes,299571,1136153751,1197,1,75,631,212,948990
2024,1,Aguascalientes,1,Aguascalientes,276469,1108857942,1168,2,95,632,225,948990
2010,1,Aguascalientes,2,Asientos,1207,455765,10,11,1461,223,92,45492
2011,1,Aguascalientes,2,Asientos,1875,706168,16,11,1344,241,100,45492
2012,1,Aguascalientes,2,Asientos,2023,1060404,23,11,1253,259,111,45492
2013,1,Aguascalientes,2,Asientos,1765,973062,21,11,1303,269,117,45492
2014,1,Aguascalientes,2,Asientos,2396,1497808,33,11,1195,308,125,45492
2015,1,Aguascalientes,2,Asientos,2786,1675000,36,11,1155,287,125,46464
2016,1,Aguascalientes,2,Asientos,3030,1845399,40,11,1160,300,136,46464
2017,1,Aguascalientes,2,Asientos,2786,1660280,36,11,1225,335,147,46464
2018,1,Aguascalientes,2,Asientos,2853,2029083,44,11,1155,377,151,46464
2019,1,Aguascalientes,2,Asientos,2983,2611979,56,11,1079,436,166,46464
2020,1,Aguascalientes,2,Asientos,2989,2961854,57,11,1108,414,162,51536
2021,1,Aguascalientes,2,Asientos,3358,3333629,65,11,1081,469,176,51536
2022,1,Aguascalientes,2,Asientos,5462,7926696,154,9,814,560,197,51536
2023,1,Aguascalientes,2,Asientos,7871,11079645,215,9,683,631,212,51536
2024,1,Aguascalientes,2,Asientos,7686,11741307,228,9,674,632,225,51536
2010,1,Aguascalientes,3,Calvillo,14633,17211437,318,4,200,223,92,54136
2011,1,Aguascalientes,3,Calvillo,15216,19879459,367,2,176,241,100,54136
2012,1,Aguascalientes,3,Calvillo,15880,17086066,316,4,255,259,111,54136
2013,1,Aguascalientes,3,Calvillo,16233,17257512,319,4,269,269,117,54136
2014,1,Aguascalientes,3,Calvillo,16787,22814493,421,4,196,308,125,54136
2015,1,Aguascalientes,3,Calvillo,17031,22830615,407,4,206,287,125,56048
2016,1,Aguascalientes,3,Calvillo,16409,25747768,459,2,197,300,136,56048
2017,1,Aguascalientes,3,Calvillo,15719,29448085,525,4,183,335,147,56048
2018,1,Aguascalientes,3,Calvillo,16027,30781278,549,4,178,377,151,56048
2019,1,Aguascalientes,3,Calvillo,16334,33329966,595,4,189,436,166,56048
2020,1,Aguascalientes,3,Calvillo,16877,38814809,666,3,143,414,162,58250
2021,1,Aguascalientes,3,Calvillo,17275,38304834,658,3,174,469,176,58250
2022,1,Aguascalientes,3,Calvillo,17525,40167264,690,4,189,560,197,58250
2023,1,Aguascalientes,3,Calvillo,17725,41310944,709,4,203,631,212,58250
2024,1,Aguascalientes,3,Calvillo,18104,45020911,773,4,196,632,225,58250
2010,1,Aguascalientes,4,Cosío,3710,432294,29,10,1116,223,92,15042
2011,1,Aguascalientes,4,Cosío,3720,688388,46,10,998,241,100,15042
2012,1,Aguascalientes,4,Cosío,1420,918929,61,9,945,259,111,15042
2013,1,Aguascalientes,4,Cosío,958,597384,40,10,1101,269,117,15042
2014,1,Aguascalientes,4,Cosío,1460,621967,41,10,1117,308,125,15042
2015,1,Aguascalientes,4,Cosío,919,785091,50,10,1052,287,125,15577
2016,1,Aguascalientes,4,Cosío,921,814754,52,10,1068,300,136,15577
2017,1,Aguascalientes,4,Cosío,1065,927160,60,10,1042,335,147,15577
2018,1,Aguascalientes,4,Cosío,1062,1232438,79,10,941,377,151,15577
2019,1,Aguascalientes,4,Cosío,983,1104349,71,10,1005,436,166,15577
2020,1,Aguascalientes,4,Cosío,774,1047418,62,10,1072,414,162,17000
2021,1,Aguascalientes,4,Cosío,996,1124211,66,10,1071,469,176,17000
2022,1,Aguascalientes,4,Cosío,1314,1995090,117,11,928,560,197,17000
2023,1,Aguascalientes,4,Cosío,1598,2670223,157,10,808,631,212,17000
2024,1,Aguascalientes,4,Cosío,1648,2323069,137,10,891,632,225,17000
2010,1,Aguascalientes,5,Jesús María,23743,38801407,390,2,143,223,92,99590
2011,1,Aguascalientes,5,Jesús María,25886,32055592,322,5,227,241,100,99590
2012,1,Aguascalientes,5,Jesús María,26384,38856600,390,3,184,259,111,99590
2013,1,Aguascalientes,5,Jesús María,29163,44917562,451,3,157,269,117,99590
2014,1,Aguascalientes,5,Jesús María,29852,47823847,480,3,162,308,125,99590
2015,1,Aguascalientes,5,Jesús María,24063,50058081,416,3,199,287,125,120405
2016,1,Aguascalientes,5,Jesús María,26740,54875999,456,3,199,300,136,120405
2017,1,Aguascalientes,5,Jesús María,24232,67068638,557,2,158,335,147,120405
2018,1,Aguascalientes,5,Jesús María,25190,80095531,665,2,116,377,151,120405
2019,1,Aguascalientes,5,Jesús María,26422,92889720,771,2,109,436,166,120405
2020,1,Aguascalientes,5,Jesús María,28630,103769889,799,2,104,414,162,129929
2021,1,Aguascalientes,5,Jesús María,29833,119419762,919,2,89,469,176,129929
2022,1,Aguascalientes,5,Jesús María,31238,138215282,1064,2,79,560,197,129929
2023,1,Aguascalientes,5,Jesús María,33008,151155791,1163,2,82,631,212,129929
2024,1,Aguascalientes,5,Jesús María,34264,161986697,1247,1,83,632,225,129929
2010,1,Aguascalientes,6,Pabellón de Arteaga,10849,13401423,320,3,195,223,92,41862
2011,1,Aguascalientes,6,Pabellón de Arteaga,10905,14984204,358,3,184,241,100,41862
2012,1,Aguascalientes,6,Pabellón de Arteaga,4049,13011457,311,5,262,259,111,41862
2013,1,Aguascalientes,6,Pabellón de Arteaga,3482,13169268,315,5,274,269,117,41862
2014,1,Aguascalientes,6,Pabellón de Arteaga,3965,16885792,403,5,211,308,125,41862
2015,1,Aguascalientes,6,Pabellón de Arteaga,4391,17607915,379,5,226,287,125,46473
2016,1,Aguascalientes,6,Pabellón de Arteaga,3965,15943547,343,5,300,300,136,46473
2017,1,Aguascalientes,6,Pabellón de Arteaga,4914,19127586,412,5,260,335,147,46473
2018,1,Aguascalientes,6,Pabellón de Arteaga,7063,24336189,524,5,193,377,151,46473
2019,1,Aguascalientes,6,Pabellón de Arteaga,7727,27413548,590,5,190,436,166,46473
2020,1,Aguascalientes,6,Pabellón de Arteaga,7053,26448342,555,4,195,414,162,47646
2021,1,Aguascalientes,6,Pabellón de Arteaga,7141,30016475,630,4,185,469,176,47646
2022,1,Aguascalientes,6,Pabellón de Arteaga,10866,36505041,766,3,153,560,197,47646
2023,1,Aguascalientes,6,Pabellón de Arteaga,10523,39662024,832,3,152,631,212,47646
2024,1,Aguascalientes,6,Pabellón de Arteaga,11058,41450812,870,3,159,632,225,47646
2010,1,Aguascalientes,7,Rincón de Romos,11440,10550205,215,6,333,223,92,49156
2011,1,Aguascalientes,7,Rincón de Romos,13406,10480633,213,6,361,241,100,49156
2012,1,Aguascalientes,7,Rincón de Romos,13595,14219115,289,6,286,259,111,49156
2013,1,Aguascalientes,7,Rincón de Romos,13834,13331806,271,6,333,269,117,49156
2014,1,Aguascalientes,7,Rincón de Romos,14095,14514250,295,6,327,308,125,49156
2015,1,Aguascalientes,7,Rincón de Romos,14471,15557921,289,6,345,287,125,53866
2016,1,Aguascalientes,7,Rincón de Romos,14750,16989697,315,6,343,300,136,53866
2017,1,Aguascalientes,7,Rincón de Romos,12889,16472165,306,6,374,335,147,53866
2018,1,Aguascalientes,7,Rincón de Romos,11616,17405637,323,6,369,377,151,53866
2019,1,Aguascalientes,7,Rincón de Romos,10978,20342650,378,7,339,436,166,53866
2020,1,Aguascalientes,7,Rincón de Romos,12045,24385849,425,6,298,414,162,57369
2021,1,Aguascalientes,7,Rincón de Romos,12536,27274949,475,6,279,469,176,57369
2022,1,Aguascalientes,7,Rincón de Romos,14753,34874976,608,5,226,560,197,57369
2023,1,Aguascalientes,7,Rincón de Romos,15411,39403331,687,6,215,631,212,57369
2024,1,Aguascalientes,7,Rincón de Romos,16887,42330269,738,5,213,632,225,57369
2010,1,Aguascalientes,8,San José de Gracia,2110,1027671,122,7,578,223,92,8443
2011,1,Aguascalientes,8,San José de Gracia,2183,933285,111,7,662,241,100,8443
2012,1,Aguascalientes,8,San José de Gracia,2281,1032041,122,7,668,259,111,8443
2013,1,Aguascalientes,8,San José de Gracia,2282,998862,118,7,712,269,117,8443
2014,1,Aguascalientes,8,San José de Gracia,2348,1326149,157,7,620,308,125,8443
2015,1,Aguascalientes,8,San José de Gracia,2361,1356791,153,8,638,287,125,8896
2016,1,Aguascalientes,8,San José de Gracia,2388,1641033,184,7,579,300,136,8896
2017,1,Aguascalientes,8,San José de Gracia,2428,1510977,170,7,637,335,147,8896
2018,1,Aguascalientes,8,San José de Gracia,2307,1482246,167,8,656,377,151,8896
2019,1,Aguascalientes,8,San José de Gracia,1899,4391189,494,6,249,436,166,8896
2020,1,Aguascalientes,8,San José de Gracia,1760,2396435,251,7,510,414,162,9552
2021,1,Aguascalientes,8,San José de Gracia,2019,3852029,403,7,357,469,176,9552
2022,1,Aguascalientes,8,San José de Gracia,2314,4161715,436,7,347,560,197,9552
2023,1,Aguascalientes,8,San José de Gracia,2781,6008510,629,7,236,631,212,9552
2024,1,Aguascalientes,8,San José de Gracia,2074,5064366,530,7,314,632,225,9552
2010,1,Aguascalientes,9,Tepezalá,5883,972535,49,9,936,223,92,19668
2011,1,Aguascalientes,9,Tepezalá,6015,1134636,58,9,912,241,100,19668
2012,1,Aguascalientes,9,Tepezalá,3496,1108745,56,10,973,259,111,19668
2013,1,Aguascalientes,9,Tepezalá,3322,1050550,53,9,1008,269,117,19668
2014,1,Aguascalientes,9,Tepezalá,3666,1408614,72,9,922,308,125,19668
2015,1,Aguascalientes,9,Tepezalá,4332,1478319,71,9,938,287,125,20926
2016,1,Aguascalientes,9,Tepezalá,3399,1465937,70,9,974,300,136,20926
2017,1,Aguascalientes,9,Tepezalá,3497,1843292,88,9,898,335,147,20926
2018,1,Aguascalientes,9,Tepezalá,2737,1896894,91,9,892,377,151,20926
2019,1,Aguascalientes,9,Tepezalá,2711,1847685,88,9,920,436,166,20926
2020,1,Aguascalientes,9,Tepezalá,3208,2098249,93,9,921,414,162,22485
2021,1,Aguascalientes,9,Tepezalá,3409,2219824,99,9,929,469,176,22485
2022,1,Aguascalientes,9,Tepezalá,3732,3120388,139,10,857,560,197,22485
2023,1,Aguascalientes,9,Tepezalá,3227,3154053,140,11,856,631,212,22485
2024,1,Aguascalientes,9,Tepezalá,3085,2753643,122,11,936,632,225,22485
2010,1,Aguascalientes,10,El Llano,4700,1244310,66,8,831,223,92,18828
2011,1,Aguascalientes,10,El Llano,1310,1688947,90,8,728,241,100,18828
2012,1,Aguascalientes,10,El Llano,1987,1881769,100,8,751,259,111,18828
2013,1,Aguascalientes,10,El Llano,1475,1849167,98,8,782,269,117,18828
2014,1,Aguascalientes,10,El Llano,1778,2557530,136,8,677,308,125,18828
2015,1,Aguascalientes,10,El Llano,1874,3146973,155,7,627,287,125,20245
2016,1,Aguascalientes,10,El Llano,1501,2395278,118,8,771,300,136,20245
2017,1,Aguascalientes,10,El Llano,1666,3087320,152,8,685,335,147,20245
2018,1,Aguascalientes,10,El Llano,3571,3667576,181,7,622,377,151,20245
2019,1,Aguascalientes,10,El Llano,2892,3366347,166,8,694,436,166,20245
2020,1,Aguascalientes,10,El Llano,3319,4681023,224,8,562,414,162,20853
2021,1,Aguascalientes,10,El Llano,3423,6011488,288,8,495,469,176,20853
2022,1,Aguascalientes,10,El Llano,3627,8377763,402,8,391,560,197,20853
2023,1,Aguascalientes,10,El Llano,4719,10686243,512,8,307,631,212,20853
2024,1,Aguascalientes,10,El Llano,5089,8471014,406,8,430,632,225,20853
2010,1,Aguascalientes,11,San Francisco de los Romo,9489,10467045,293,5,232,223,92,35769
2011,1,Aguascalientes,11,San Francisco de los Romo,7835,12786676,357,4,186,241,100,35769
2012,1,Aguascalientes,11,San Francisco de los Romo,8498,14809030,414,2,166,259,111,35769
2013,1,Aguascalientes,11,San Francisco de los Romo,10519,16999496,475,2,141,269,117,35769
2014,1,Aguascalientes,11,San Francisco de los Romo,13715,18013216,504,2,145,308,125,35769
2015,1,Aguascalientes,11,San Francisco de los Romo,9908,19452745,419,2,197,287,125,46454
2016,1,Aguascalientes,11,San Francisco de los Romo,9916,20880216,449,4,206,300,136,46454
2017,1,Aguascalientes,11,San Francisco de los Romo,12022,25153446,541,3,170,335,147,46454
2018,1,Aguascalientes,11,San Francisco de los Romo,12599,28930916,623,3,135,377,151,46454
2019,1,Aguascalientes,11,San Francisco de los Romo,12881,28539554,614,3,175,436,166,46454
2020,1,Aguascalientes,11,San Francisco de los Romo,8062,29593154,477,5,238,414,162,61997
2021,1,Aguascalientes,11,San Francisco de los Romo,13094,31197523,503,5,257,469,176,61997
2022,1,Aguascalientes,11,San Francisco de los Romo,13952,36830555,594,6,237,560,197,61997
2023,1,Aguascalientes,11,San Francisco de los Romo,14564,43375734,700,5,206,631,212,61997
2024,1,Aguascalientes,11,San Francisco de los Romo,15460,45367245,732,6,215,632,225,61997
2010,2,Baja California,1,Ensenada,128251,312936207,670,4,36,980,92,466814
2011,2,Baja California,1,Ensenada,131157,323951680,694,4,47,1008,100,466814
2012,2,Baja California,1,Ensenada,134610,345037923,739,4,46,854,111,466814
2013,2,Baja California,1,Ensenada,137581,360121447,771,4,47,918,117,466814
2014,2,Baja California,1,Ensenada,140411,343793903,736,5,66,1316,125,466814
2015,2,Baja California,1,Ensenada,No disponible,405278700,833,5,48,1482,125,486639
2016,2,Baja California,1,Ensenada,144091,396240749,814,5,60,1499,136,486639
2017,2,Baja California,1,Ensenada,147040,425706765,875,5,67,1470,147,486639
2018,2,Baja California,1,Ensenada,149232,490210825,1007,5,46,1697,151,486639
2019,2,Baja California,1,Ensenada,0,543958741,1118,5,46,1873,166,486639
2020,2,Baja California,1,Ensenada,82095,554993232,1251,5,24,1762,162,443807
2021,2,Baja California,1,Ensenada,127624,577606211,1301,5,23,1717,176,443807
2022,2,Baja California,1,Ensenada,109878,764692749,1723,5,21,2006,197,443807
2023,2,Baja California,1,Ensenada,144311,1008124983,2272,5,13,2523,212,443807
2024,2,Baja California,1,Ensenada,147716,1117293567,2518,5,12,2848,225,443807
2010,2,Baja California,2,Mexicali,331132,852325529,910,3,12,980,92,936826
2011,2,Baja California,2,Mexicali,335835,845465868,902,3,17,1008,100,936826
2012,2,Baja California,2,Mexicali,340767,819964555,875,3,24,854,111,936826
2013,2,Baja California,2,Mexicali,329183,866533363,925,3,24,918,117,936826
2014,2,Baja California,2,Mexicali,335622,936010124,999,4,20,1316,125,936826
2015,2,Baja California,2,Mexicali,306734,982154786,994,4,18,1482,125,988417
2016,2,Baja California,2,Mexicali,294582,1122551669,1136,4,19,1499,136,988417
2017,2,Baja California,2,Mexicali,284194,1163744053,1177,4,25,1470,147,988417
2018,2,Baja California,2,Mexicali,287572,1290022062,1305,4,19,1697,151,988417
2019,2,Baja California,2,Mexicali,299747,1456095806,1473,4,17,1873,166,988417
2020,2,Baja California,2,Mexicali,291027,1595793860,1520,4,13,1762,162,1049792
2021,2,Baja California,2,Mexicali,287989,1711850319,1631,4,12,1717,176,1049792
2022,2,Baja California,2,Mexicali,307920,2009703110,1914,4,12,2006,197,1049792
2023,2,Baja California,2,Mexicali,313572,2433707606,2318,4,12,2523,212,1049792
2024,2,Baja California,2,Mexicali,318042,2671111366,2544,4,11,2848,225,1049792
2010,2,Baja California,3,Tecate,31307,134891289,1335,1,3,980,92,101079
2011,2,Baja California,3,Tecate,29369,138096453,1366,1,4,1008,100,101079
2012,2,Baja California,3,Tecate,33911,153967687,1523,1,5,854,111,101079
2013,2,Baja California,3,Tecate,35112,162463108,1607,1,5,918,117,101079
2014,2,Baja California,3,Tecate,20172,176010629,1741,2,6,1316,125,101079
2015,2,Baja California,3,Tecate,32407,204347625,1995,2,4,1482,125,102406
2016,2,Baja California,3,Tecate,34987,205788362,2010,2,4,1499,136,102406
2017,2,Baja California,3,Tecate,35498,216928479,2118,1,4,1470,147,102406
2018,2,Baja California,3,Tecate,36573,250994990,2451,1,4,1697,151,102406
2019,2,Baja California,3,Tecate,37944,241484868,2358,2,8,1873,166,102406
2020,2,Baja California,3,Tecate,39199,339623317,3132,1,3,1762,162,108440
2021,2,Baja California,3,Tecate,37105,313892537,2895,1,4,1717,176,108440
2022,2,Baja California,3,Tecate,41232,396765264,3659,1,3,2006,197,108440
2023,2,Baja California,3,Tecate,42332,510465656,4707,1,2,2523,212,108440
2024,2,Baja California,3,Tecate,43231,579445117,5343,1,2,2848,225,108440
2010,2,Baja California,4,Tijuana,546054,1566259394,1004,2,9,980,92,1559683
2011,2,Baja California,4,Tijuana,560372,1667248276,1069,2,10,1008,100,1559683
2012,2,Baja California,4,Tijuana,577698,1766271120,1132,2,10,854,111,1559683
2013,2,Baja California,4,Tijuana,590497,2010101249,1289,2,8,918,117,1559683
2014,2,Baja California,4,Tijuana,567864,1881949639,1207,3,14,1316,125,1559683
2015,2,Baja California,4,Tijuana,444518,2092957253,1275,3,9,1482,125,1641570
2016,2,Baja California,4,Tijuana,332753,2265716218,1380,3,14,1499,136,1641570
2017,2,Baja California,4,Tijuana,341822,2546126936,1551,3,11,1470,147,1641570
2018,2,Baja California,4,Tijuana,347137,2835888466,1728,3,8,1697,151,1641570
2019,2,Baja California,4,Tijuana,335959,3152744928,1921,3,9,1873,166,1641570
2020,2,Baja California,4,Tijuana,325792,3707319271,1928,3,6,1762,162,1922523
2021,2,Baja California,4,Tijuana,376290,3722515173,1936,3,8,1717,176,1922523
2022,2,Baja California,4,Tijuana,395106,4168219844,2168,3,9,2006,197,1922523
2023,2,Baja California,4,Tijuana,399834,4928190327,2563,3,10,2523,212,1922523
2024,2,Baja California,4,Tijuana,397719,5626404957,2927,3,8,2848,225,1922523
2010,2,Baja California,5,Playas de Rosarito,No disponible,No disponible,No disponible,No disponible,No disponible,980,92,90668
2011,2,Baja California,5,Playas de Rosarito,No disponible,No disponible,No disponible,No disponible,No disponible,1008,100,90668
2012,2,Baja California,5,Playas de Rosarito,No disponible,0,0,5,1819,854,111,90668
2013,2,Baja California,5,Playas de Rosarito,No disponible,0,0,5,1845,918,117,90668
2014,2,Baja California,5,Playas de Rosarito,34342,171777277,1895,1,5,1316,125,90668
2015,2,Baja California,5,Playas de Rosarito,29710,223868358,2314,1,3,1482,125,96734
2016,2,Baja California,5,Playas de Rosarito,22901,208608116,2157,1,3,1499,136,96734
2017,2,Baja California,5,Playas de Rosarito,23125,157495494,1628,2,8,1470,147,96734
2018,2,Baja California,5,Playas de Rosarito,23775,192725249,1992,2,6,1697,151,96734
2019,2,Baja California,5,Playas de Rosarito,24485,241625039,2498,1,5,1873,166,96734
2020,2,Baja California,5,Playas de Rosarito,23483,325847532,2568,2,5,1762,162,126890
2021,2,Baja California,5,Playas de Rosarito,27142,291140938,2294,2,5,1717,176,126890
2022,2,Baja California,5,Playas de Rosarito,27965,288966235,2277,2,8,2006,197,126890
2023,2,Baja California,5,Playas de Rosarito,29341,368769138,2906,2,7,2523,212,126890
2024,2,Baja California,5,Playas de Rosarito,30913,422687401,3331,2,5,2848,225,126890
2010,2,Baja California,6,San Quintín,No disponible,No disponible,No disponible,No disponible,No disponible,980,92,No disponible
2011,2,Baja California,6,San Quintín,No disponible,No disponible,No disponible,No disponible,No disponible,1008,100,No disponible
2012,2,Baja California,6,San Quintín,No disponible,No disponible,No disponible,No disponible,No disponible,854,111,No disponible
2013,2,Baja California,6,San Quintín,No disponible,No disponible,No disponible,No disponible,No disponible,918,117,No disponible
2014,2,Baja California,6,San Quintín,No disponible,No disponible,No disponible,No disponible,No disponible,1316,125,No disponible
2015,2,Baja California,6,San Quintín,No disponible,No disponible,No disponible,No disponible,No disponible,1482,125,No disponible
2016,2,Baja California,6,San Quintín,No disponible,No disponible,No disponible,No disponible,No disponible,1499,136,No disponible
2017,2,Baja California,6,San Quintín,No disponible,No disponible,No disponible,No disponible,No disponible,1470,147,No disponible
2018,2,Baja California,6,San Quintín,No disponible,No disponible,No disponible,No disponible,No disponible,1697,151,No disponible
2019,2,Baja California,6,San Quintín,No disponible,No disponible,No disponible,No disponible,No disponible,1873,166,No disponible
2020,2,Baja California,6,San Quintín,6721,20619497,175,6,680,1762,162,117568
2021,2,Baja California,6,San Quintín,17992,28750941,245,6,561,1717,176,117568
2022,2,Baja California,6,San Quintín,11910,34874409,297,6,522,2006,197,117568
2023,2,Baja California,6,San Quintín,18329,43304202,368,6,452,2523,212,117568
2024,2,Baja California,6,San Quintín,18654,50165320,427,6,409,2848,225,117568
2010,2,Baja California,7,San Felipe,No disponible,No disponible,No disponible,No disponible,No disponible,980,92,No disponible
2011,2,Baja California,7,San Felipe,No disponible,No disponible,No disponible,No disponible,No disponible,1008,100,No disponible
2012,2,Baja California,7,San Felipe,No disponible,No disponible,No disponible,No disponible,No disponible,854,111,No disponible
2013,2,Baja California,7,San Felipe,No disponible,No disponible,No disponible,No disponible,No disponible,918,117,No disponible
2014,2,Baja California,7,San Felipe,No disponible,No disponible,No disponible,No disponible,No disponible,1316,125,No disponible
2015,2,Baja California,7,San Felipe,No disponible,No disponible,No disponible,No disponible,No disponible,1482,125,No disponible
2016,2,Baja California,7,San Felipe,No disponible,No disponible,No disponible,No disponible,No disponible,1499,136,No disponible
2017,2,Baja California,7,San Felipe,No disponible,No disponible,No disponible,No disponible,No disponible,1470,147,No disponible
2018,2,Baja California,7,San Felipe,No disponible,No disponible,No disponible,No disponible,No disponible,1697,151,No disponible
2019,2,Baja California,7,San Felipe,No disponible,No disponible,No disponible,No disponible,No disponible,1873,166,No disponible
2020,2,Baja California,7,San Felipe,No disponible,No disponible,No disponible,No disponible,No disponible,1762,162,No disponible
2021,2,Baja California,7,San Felipe,7815,53172890,No disponible,No disponible,No disponible,1717,176,No disponible
2022,2,Baja California,7,San Felipe,8509,54223251,No disponible,No disponible,No disponible,2006,197,No disponible
2023,2,Baja California,7,San Felipe,8666,63514938,No disponible,No disponible,No disponible,2523,212,No disponible
2024,2,Baja California,7,San Felipe,8773,66181577,No disponible,No disponible,No disponible,2848,225,No disponible
2010,3,Baja California Sur,1,Comondú,21125,24520540,346,4,171,603,92,70816
2011,3,Baja California Sur,1,Comondú,21763,27010418,381,4,162,627,100,70816
2012,3,Baja California Sur,1,Comondú,22179,31356258,443,5,149,786,111,70816
2013,3,Baja California Sur,1,Comondú,22715,33830488,478,5,139,826,117,70816
2014,3,Baja California Sur,1,Comondú,11205,37453981,529,4,125,857,125,70816
2015,3,Baja California Sur,1,Comondú,11598,41353731,570,1,112,825,125,72564
2016,3,Baja California Sur,1,Comondú,13436,52188356,719,4,88,925,136,72564
2017,3,Baja California Sur,1,Comondú,13316,65496974,903,4,57,1025,147,72564
2018,3,Baja California Sur,1,Comondú,23355,64656752,891,4,69,1031,151,72564
2019,3,Baja California Sur,1,Comondú,23238,70765990,975,4,69,1110,166,72564
2020,3,Baja California Sur,1,Comondú,22475,70917266,971,3,62,1017,162,73021
2021,3,Baja California Sur,1,Comondú,22353,77571315,1062,4,61,1157,176,73021
2022,3,Baja California Sur,1,Comondú,22714,81511483,1116,4,69,1358,197,73021
2023,3,Baja California Sur,1,Comondú,23757,82209303,1126,4,86,1490,212,73021
2024,3,Baja California Sur,1,Comondú,23251,79892471,1094,4,109,1576,225,73021
2010,3,Baja California Sur,2,Mulegé,11995,19292886,326,5,187,603,92,59114
2011,3,Baja California Sur,2,Mulegé,11776,11489438,194,5,397,627,100,59114
2012,3,Baja California Sur,2,Mulegé,12203,33420731,565,4,93,786,111,59114
2013,3,Baja California Sur,2,Mulegé,14197,33607977,569,4,102,826,117,59114
2014,3,Baja California Sur,2,Mulegé,14655,30267693,512,5,137,857,125,59114
2015,3,Baja California Sur,2,Mulegé,15378,36030998,599,2,101,825,125,60171
2016,3,Baja California Sur,2,Mulegé,15945,39991864,665,5,100,925,136,60171
2017,3,Baja California Sur,2,Mulegé,16284,38234940,635,5,124,1025,147,60171
2018,3,Baja California Sur,2,Mulegé,16519,40339372,670,5,112,1031,151,60171
2019,3,Baja California Sur,2,Mulegé,16814,47730757,793,5,103,1110,166,60171
2020,3,Baja California Sur,2,Mulegé,8869,54865342,857,4,92,1017,162,64022
2021,3,Baja California Sur,2,Mulegé,9490,57391679,896,5,94,1157,176,64022
2022,3,Baja California Sur,2,Mulegé,9690,57879897,904,5,113,1358,197,64022
2023,3,Baja California Sur,2,Mulegé,9382,36568959,571,5,270,1490,212,64022
2024,3,Baja California Sur,2,Mulegé,9907,51889042,810,5,184,1576,225,64022
2010,3,Baja California Sur,3,La Paz,83664,174148142,691,2,25,603,92,251871
2011,3,Baja California Sur,3,La Paz,86086,194980199,774,2,32,627,100,251871
2012,3,Baja California Sur,3,La Paz,88488,200938302,798,3,32,786,111,251871
2013,3,Baja California Sur,3,La Paz,90926,214976511,854,3,32,826,117,251871
2014,3,Baja California Sur,3,La Paz,92721,215083073,854,3,36,857,125,251871
2015,3,Baja California Sur,3,La Paz,81541,232811795,854,3,40,825,125,272711
2016,3,Baja California Sur,3,La Paz,85954,245667404,901,3,44,925,136,272711
2017,3,Baja California Sur,3,La Paz,88961,262919833,964,3,47,1025,147,272711
2018,3,Baja California Sur,3,La Paz,91018,271284341,995,3,50,1031,151,272711
2019,3,Baja California Sur,3,La Paz,91802,269824585,989,3,65,1110,166,272711
2020,3,Baja California Sur,3,La Paz,92758,194724773,666,5,144,1017,162,292241
2021,3,Baja California Sur,3,La Paz,96881,321241675,1099,3,54,1157,176,292241
2022,3,Baja California Sur,3,La Paz,98741,365163414,1250,3,50,1358,197,292241
2023,3,Baja California Sur,3,La Paz,114878,405518751,1388,3,49,1490,212,292241
2024,3,Baja California Sur,3,La Paz,106247,440239396,1506,3,45,1576,225,292241
2010,3,Baja California Sur,8,Los Cabos,64532,284233630,1192,1,5,603,92,238487
2011,3,Baja California Sur,8,Los Cabos,66190,307286278,1288,1,5,627,100,238487
2012,3,Baja California Sur,8,Los Cabos,67814,302293484,1268,1,6,786,111,238487
2013,3,Baja California Sur,8,Los Cabos,69213,306561192,1285,1,9,826,117,238487
2014,3,Baja California Sur,8,Los Cabos,70323,318045088,1334,1,10,857,125,238487
2015,3,Baja California Sur,8,Los Cabos,69577,342936708,1192,4,14,825,125,287671
2016,3,Baja California Sur,8,Los Cabos,70281,408078904,1419,1,12,925,136,287671
2017,3,Baja California Sur,8,Los Cabos,73450,462862202,1609,1,10,1025,147,287671
2018,3,Baja California Sur,8,Los Cabos,74623,454840097,1581,1,13,1031,151,287671
